latitude,longitude
40.7128,-74.0060
40.7168,-74.0020
40.7185,-73.9985
40.7145,-73.9970
40.7110,-73.9995
40.7195,-74.0045
40.7135,-74.0085
40.7160,-73.9940
40.7100,-74.0030
40.7175,-74.0070
40.7580,-73.9855
40.7614,-73.9776
40.7550,-73.9710
40.7595,-73.9800
40.7530,-73.9820
40.7610,-73.9690
40.7565,-73.9760
40.7540,-73.9880
40.7600,-73.9730
40.7520,-73.9790
40.6782,-73.9442
40.6820,-73.9480
40.6750,-73.9510
40.6800,-73.9400
40.6760,-73.9550
40.6840,-73.9420
40.6720,-73.9470
40.6810,-73.9530
40.6770,-73.9380
40.6830,-73.9500
