latitude,longitude
40.7831,-73.9712
40.7865,-73.9680
40.7800,-73.9750
40.7850,-73.9725
40.7815,-73.9690
40.7880,-73.9700
40.7795,-73.9680
40.7840,-73.9760
40.7860,-73.9740
40.7820,-73.9770
40.7282,-73.7949
40.7320,-73.7980
40.7250,-73.7920
40.7300,-73.7900
40.7270,-73.8000
40.7340,-73.7950
40.7230,-73.7970
40.7310,-73.7890
40.7260,-73.7940
40.7290,-73.8020
40.8448,-73.8648
40.8480,-73.8680
40.8420,-73.8620
40.8460,-73.8700
40.8410,-73.8660
40.8490,-73.8630
40.8430,-73.8690
40.8470,-73.8610
40.8440,-73.8720
40.8455,-73.8590
